date,farm_id,weight
2019-6-29,Farm 33,1974
2019-10-10,Farm 19,1974
2019-12-11,Farm 33,1974
2019-1-20,Farm 66,1974
2019-3-28,Farm 33,1975
2019-7-5,Farm 19,1975
2019-8-14,Farm 19,1975
2019-9-29,Farm 19,1975
2019-9-30,Farm 33,1975
2019-7-17,Farm 33,1977
2019-8-7,Farm 19,1979
2019-4-4,Farm 66,1981
2019-10-5,Farm 19,1981
2019-10-15,Farm 19,1981
2019-3-25,Farm 33,1982
2019-5-18,Farm 19,1982
2019-9-2,Farm 66,1982
2019-11-17,Farm 19,1982
2019-4-18,Farm 33,1983
2019-4-24,Farm 19,1983
2019-2-22,Farm 33,1984
2019-6-1,Farm 33,1984
2019-12-3,Farm 19,1984
2019-12-17,Farm 33,1984
2019-1-1,Farm 19,1984
2019-4-4,Farm 19,1986
2019-5-12,Farm 19,1986
2019-5-17,Farm 19,1986
2019-6-30,Farm 33,1986
2019-12-22,Farm 66,1986
2019-5-10,Farm 66,1987
2019-1-18,Farm 19,1987
2019-4-14,Farm 33,1988
2019-4-23,Farm 33,1988
2019-6-16,Farm 66,1988
2019-8-16,Farm 66,1988
2019-7-18,Farm 19,1989
2019-8-18,Farm 33,1990
2019-7-2,Farm 66,1991
2019-7-23,Farm 19,1991
2019-9-13,Farm 33,1991
2019-6-17,Farm 19,1992
2019-6-25,Farm 19,1992
2019-7-7,Farm 33,1992
2019-11-28,Farm 19,1992
2019-1-10,Farm 33,1992
2019-4-26,Farm 33,1993
2019-11-13,Farm 33,1993
2019-3-16,Farm 19,1994
2019-4-26,Farm 19,1994
2019-10-5,Farm 33,1994
2019-5-28,Farm 19,1995
2019-11-4,Farm 19,1995
2019-12-28,Farm 19,1995
2019-7-4,Farm 19,1996
2019-8-22,Farm 19,1996
2019-4-28,Farm 19,1997
2019-8-21,Farm 19,1997
2019-9-7,Farm 19,1997
2019-10-14,Farm 19,1997
2019-2-4,Farm 33,1998
2019-6-6,Farm 33,1998
2019-11-23,Farm 19,1998
2019-1-25,Farm 19,1998
2019-1-28,Farm 66,1998
2019-4-7,Farm 19,1999
2019-6-2,Farm 66,1999
2019-11-21,Farm 19,1999
2019-3-12,Farm 19,2000
2019-4-10,Farm 84,2000
2019-4-18,Farm 66,2000
2019-4-26,Farm 66,2000
2019-7-6,Farm 66,2000
2019-12-7,Farm 33,2000
2019-3-20,Farm 19,2001
2019-1-4,Farm 66,2001
2019-5-22,Farm 19,2002
2019-5-23,Farm 33,2002
2019-5-25,Farm 19,2002
2019-7-19,Farm 19,2002
2019-7-22,Farm 19,2002
2019-8-26,Farm 19,2002
2019-4-25,Farm 19,2003
2019-5-16,Farm 19,2003
2019-8-30,Farm 33,2003
2019-6-6,Farm 19,2004
2019-6-24,Farm 33,2004
2019-9-11,Farm 33,2004
2019-9-16,Farm 19,2004
2019-2-25,Farm 33,2005
2019-3-14,Farm 33,2005
2019-6-20,Farm 66,2005
2019-9-11,Farm 19,2005
2019-12-20,Farm 19,2005
2019-1-26,Farm 66,2005
2019-3-4,Farm 66,2006
2019-4-9,Farm 33,2006
2019-4-19,Farm 19,2006
2019-7-12,Farm 19,2006
2019-8-21,Farm 33,2006
2019-2-28,Farm 66,2007
2019-4-28,Farm 66,2007
2019-6-6,Farm 66,2007
2019-5-1,Farm 19,2008
2019-7-21,Farm 33,2009
2019-10-26,Farm 33,2009
2019-1-6,Farm 66,2009
2019-4-20,Farm 66,2010
2019-5-27,Farm 84,2010
2019-11-18,Farm 19,2010
2019-11-26,Farm 19,2010
2019-9-25,Farm 19,2011
2019-11-20,Farm 19,2011
2019-9-26,Farm 33,2012
2019-5-29,Farm 33,2012
2019-7-12,Farm 33,2012
2019-6-22,Farm 19,2012
2019-8-11,Farm 19,2012
2019-10-22,Farm 19,2012
2019-11-23,Farm 33,2012
2019-1-5,Farm 33,2012
2019-1-12,Farm 66,2012
2019-2-15,Farm 19,2013
2019-2-19,Farm 19,2014
2019-2-28,Farm 19,2014
2019-5-9,Farm 19,2014
2019-6-16,Farm 19,2014
2019-9-9,Farm 33,2014
2019-12-5,Farm 33,2014
2019-3-8,Farm 66,2015
2019-3-22,Farm 66,2015
2019-4-7,Farm 33,2015
2019-7-5,Farm 33,2015
2019-8-11,Farm 33,2015
2019-9-5,Farm 19,2015
2019-9-17,Farm 19,2015
2019-4-10,Farm 33,2016
2019-10-4,Farm 19,2016
2019-10-8,Farm 19,2016
2019-11-3,Farm 33,2016
2019-12-4,Farm 33,2016
2019-5-12,Farm 66,2017
2019-7-7,Farm 19,2017
2019-12-11,Farm 19,2017
2019-5-11,Farm 84,2018
2019-6-4,Farm 19,2018
2019-8-2,Farm 19,2018
2019-11-6,Farm 19,2018
2019-1-30,Farm 19,2018
2019-3-15,Farm 19,2019
2019-3-25,Farm 19,2019
2019-4-12,Farm 33,2019
2019-4-16,Farm 33,2019
2019-4-30,Farm 33,2019
2019-10-8,Farm 33,2019
2019-5-9,Farm 84,2020
2019-10-22,Farm 66,2020
2019-1-7,Farm 33,2020
2019-9-28,Farm 33,2021
2019-10-3,Farm 19,2021
2019-6-24,Farm 84,2022
2019-7-22,Farm 66,2022
2019-9-14,Farm 33,2022
2019-10-7,Farm 19,2022
2019-10-17,Farm 84,2022
2019-12-29,Farm 19,2022
2019-3-26,Farm 33,2023
2019-8-28,Farm 19,2023
2019-10-30,Farm 19,2023
2019-2-6,Farm 19,2024
2019-3-28,Farm 19,2024
2019-8-13,Farm 19,2024
2019-8-25,Farm 33,2024
2019-12-12,Farm 19,2025
2019-3-19,Farm 19,2026
2019-8-17,Farm 19,2026
2019-10-24,Farm 33,2026
2019-5-18,Farm 33,2027
2019-5-30,Farm 33,2027
2019-11-5,Farm 19,2027
2019-12-5,Farm 19,2027
2019-2-5,Farm 19,2028
2019-4-30,Farm 19,2028
2019-5-4,Farm 19,2028
2019-5-20,Farm 66,2028
2019-8-24,Farm 19,2028
2019-6-26,Farm 19,2029
2019-8-12,Farm 33,2029
2019-9-28,Farm 19,2029
2019-3-4,Farm 19,2030
2019-11-2,Farm 33,2030
2019-5-25,Farm 33,2031
2019-6-26,Farm 66,2031
2019-12-21,Farm 33,2031
2019-3-22,Farm 33,2032
2019-4-1,Farm 19,2032
2019-5-28,Farm 33,2032
2019-8-18,Farm 19,2032
2019-1-29,Farm 33,2032
2019-2-9,Farm 19,2033
2019-5-27,Farm 33,2033
2019-9-16,Farm 66,2033
2019-10-19,Farm 19,2033
2019-11-16,Farm 19,2033
2019-2-2,Farm 33,2034
2019-2-15,Farm 33,2034
2019-7-26,Farm 66,2034
2019-10-13,Farm 19,2034
2019-8-12,Farm 19,2035
2019-10-20,Farm 19,2035
2019-5-30,Farm 66,2036
2019-9-19,Farm 33,2036
2019-12-24,Farm 33,2036
2019-5-7,Farm 19,2037
2019-5-26,Farm 33,2037
2019-8-10,Farm 66,2037
2019-8-20,Farm 66,2037
2019-9-24,Farm 33,2037
2019-12-24,Farm 66,2037
2019-2-13,Farm 19,2038
2019-3-10,Farm 66,2038
2019-7-28,Farm 33,2038
2019-8-6,Farm 19,2038
2019-9-21,Farm 84,2038
2019-10-17,Farm 19,2038
2019-3-22,Farm 19,2039
2019-6-14,Farm 33,2039
2019-7-2,Farm 19,2039
2019-10-10,Farm 66,2039
2019-2-14,Farm 66,2040
2019-9-6,Farm 19,2040
2019-12-4,Farm 66,2040
2019-12-15,Farm 19,2040
2019-8-5,Farm 84,2041
2019-10-16,Farm 19,2041
2019-2-8,Farm 19,2042
2019-3-20,Farm 33,2042
2019-5-4,Farm 33,2042
2019-9-2,Farm 19,2042
2019-2-23,Farm 19,2043
2019-3-5,Farm 33,2043
2019-3-14,Farm 19,2043
2019-9-15,Farm 33,2043
2019-11-28,Farm 33,2043
2019-2-21,Farm 19,2044
2019-3-30,Farm 19,2044
2019-5-24,Farm 19,2044
2019-6-21,Farm 33,2044
2019-7-14,Farm 66,2044
2019-12-13,Farm 19,2044
2019-1-22,Farm 19,2044
2019-3-13,Farm 19,2045
2019-6-17,Farm 33,2045
2019-7-6,Farm 19,2045
2019-10-6,Farm 66,2045
2019-12-20,Farm 33,2045
2019-2-24,Farm 66,2046
2019-4-29,Farm 33,2046
2019-6-12,Farm 19,2046
2019-10-6,Farm 19,2046
2019-10-30,Farm 66,2046
2019-12-12,Farm 33,2046
2019-1-27,Farm 33,2046
2019-2-18,Farm 33,2047
2019-3-15,Farm 33,2047
2019-9-6,Farm 66,2047
2019-9-15,Farm 19,2047
2019-10-27,Farm 33,2047
2019-4-15,Farm 19,2048
2019-9-2,Farm 84,2048
2019-9-14,Farm 19,2048
2019-11-15,Farm 19,2048
2019-1-1,Farm 33,2048
2019-1-6,Farm 33,2048
2019-6-20,Farm 33,2049
2019-10-11,Farm 19,2049
2019-11-9,Farm 19,2049
2019-5-21,Farm 19,2050
2019-5-24,Farm 33,2050
2019-6-25,Farm 33,2050
2019-7-4,Farm 66,2050
2019-11-15,Farm 33,2050
2019-11-16,Farm 66,2050
2019-11-19,Farm 19,2050
2019-1-16,Farm 66,2050
2019-3-17,Farm 19,2051
2019-2-7,Farm 19,2052
2019-9-2,Farm 33,2052
2019-10-21,Farm 19,2052
2019-1-29,Farm 19,2052
2019-5-23,Farm 19,2053
2019-2-10,Farm 33,2053
2019-4-27,Farm 19,2053
2019-3-26,Farm 66,2053
2019-4-3,Farm 33,2053
2019-1-24,Farm 19,2053
2019-4-23,Farm 19,2053
2019-8-6,Farm 66,2053
2019-12-16,Farm 66,2053
2019-1-10,Farm 19,2053
2019-3-2,Farm 66,2054
2019-5-17,Farm 33,2054
2019-10-1,Farm 19,2054
2019-11-6,Farm 33,2054
2019-12-17,Farm 19,2054
2019-12-22,Farm 33,2054
2019-5-10,Farm 19,2055
2019-9-27,Farm 84,2055
2019-12-29,Farm 33,2055
2019-1-3,Farm 33,2055
2019-2-3,Farm 19,2056
2019-2-20,Farm 19,2056
2019-4-16,Farm 19,2056
2019-6-12,Farm 84,2056
2019-9-18,Farm 19,2056
2019-1-15,Farm 19,2056
2019-7-18,Farm 66,2057
2019-7-25,Farm 33,2057
2019-7-26,Farm 84,2057
2019-11-10,Farm 33,2057
2019-1-30,Farm 33,2057
2019-6-9,Farm 33,2058
2019-4-20,Farm 33,2058
2019-12-18,Farm 19,2058
2019-7-13,Farm 19,2058
2019-2-1,Farm 19,2058
2019-12-23,Farm 19,2058
2019-3-18,Farm 66,2058
2019-5-31,Farm 33,2058
2019-10-19,Farm 33,2058
2019-10-21,Farm 33,2058
2019-6-16,Farm 33,2058
2019-3-27,Farm 33,2059
2019-6-4,Farm 33,2059
2019-7-14,Farm 33,2059
2019-1-31,Farm 19,2059
2019-7-15,Farm 84,2060
2019-9-3,Farm 33,2060
2019-9-21,Farm 19,2060
2019-1-8,Farm 19,2060
2019-2-2,Farm 19,2061
2019-3-18,Farm 19,2061
2019-4-10,Farm 19,2061
2019-7-8,Farm 19,2061
2019-9-22,Farm 19,2061
2019-10-14,Farm 66,2061
2019-12-16,Farm 19,2061
2019-3-16,Farm 84,2062
2019-4-30,Farm 66,2062
2019-9-22,Farm 66,2062
2019-2-25,Farm 19,2063
2019-2-26,Farm 33,2063
2019-8-3,Farm 19,2063
2019-12-4,Farm 84,2063
2019-1-16,Farm 33,2063
2019-4-5,Farm 33,2064
2019-5-5,Farm 19,2064
2019-5-6,Farm 33,2064
2019-6-9,Farm 19,2064
2019-10-7,Farm 33,2064
2019-4-3,Farm 19,2065
2019-7-30,Farm 66,2065
2019-9-1,Farm 19,2065
2019-2-1,Farm 33,2066
2019-6-21,Farm 19,2066
2019-8-24,Farm 33,2066
2019-3-16,Farm 66,2067
2019-3-24,Farm 33,2067
2019-7-8,Farm 66,2067
2019-8-31,Farm 33,2067
2019-9-4,Farm 33,2067
2019-9-30,Farm 66,2067
2019-6-12,Farm 66,2068
2019-9-20,Farm 33,2068
2019-2-6,Farm 33,2069
2019-4-4,Farm 33,2069
2019-9-12,Farm 33,2069
2019-10-2,Farm 66,2069
2019-3-10,Farm 33,2070
2019-5-5,Farm 33,2070
2019-4-17,Farm 19,2071
2019-12-14,Farm 66,2071
2019-1-12,Farm 19,2071
2019-7-1,Farm 33,2072
2019-1-19,Farm 19,2073
2019-8-4,Farm 19,2074
2019-10-23,Farm 19,2074
2019-11-4,Farm 33,2074
2019-12-1,Farm 33,2074
2019-8-26,Farm 33,2075
2019-11-22,Farm 19,2075
2019-12-10,Farm 19,2075
2019-2-14,Farm 19,2076
2019-7-30,Farm 19,2076
2019-10-23,Farm 33,2076
2019-11-29,Farm 33,2076
2019-3-1,Farm 19,2077
2019-8-2,Farm 33,2077
2019-12-2,Farm 19,2077
2019-12-13,Farm 84,2077
2019-1-9,Farm 19,2077
2019-1-9,Farm 84,2077
2019-3-26,Farm 19,2078
2019-9-4,Farm 66,2078
2019-10-9,Farm 84,2078
2019-1-28,Farm 19,2078
2019-3-30,Farm 33,2079
2019-5-14,Farm 66,2079
2019-7-27,Farm 33,2079
2019-8-30,Farm 66,2079
2019-9-6,Farm 33,2080
2019-6-11,Farm 33,2080
2019-5-4,Farm 66,2080
2019-6-22,Farm 66,2080
2019-7-12,Farm 66,2080
2019-3-26,Farm 84,2080
2019-4-22,Farm 33,2080
2019-9-28,Farm 66,2080
2019-5-29,Farm 19,2080
2019-10-25,Farm 19,2080
2019-8-14,Farm 33,2080
2019-5-22,Farm 66,2081
2019-6-3,Farm 19,2081
2019-8-23,Farm 33,2081
2019-6-22,Farm 33,2082
2019-7-15,Farm 19,2082
2019-7-20,Farm 19,2082
2019-12-13,Farm 33,2082
2019-12-30,Farm 33,2082
2019-1-11,Farm 33,2082
2019-2-23,Farm 33,2083
2019-3-9,Farm 19,2083
2019-3-12,Farm 33,2083
2019-4-10,Farm 66,2083
2019-10-16,Farm 33,2083
2019-1-20,Farm 19,2083
2019-6-11,Farm 19,2084
2019-11-10,Farm 19,2084
2019-11-17,Farm 33,2084
2019-2-22,Farm 84,2085
2019-3-6,Farm 33,2085
2019-6-14,Farm 19,2085
2019-7-1,Farm 84,2085
2019-11-27,Farm 33,2085
2019-3-24,Farm 19,2086
2019-5-11,Farm 33,2086
2019-5-20,Farm 19,2086
2019-6-7,Farm 33,2086
2019-8-13,Farm 33,2086
2019-12-30,Farm 19,2086
2019-1-5,Farm 19,2086
2019-3-9,Farm 33,2087
2019-4-6,Farm 19,2087
2019-4-13,Farm 19,2087
2019-11-14,Farm 66,2087
2019-12-31,Farm 33,2087
2019-1-18,Farm 66,2087
2019-2-16,Farm 66,2088
2019-4-13,Farm 33,2088
2019-7-18,Farm 33,2088
2019-9-29,Farm 33,2088
2019-11-25,Farm 19,2088
2019-11-30,Farm 66,2088
2019-12-9,Farm 33,2088
2019-2-27,Farm 33,2089
2019-11-12,Farm 33,2089
2019-12-6,Farm 19,2089
2019-3-14,Farm 66,2090
2019-7-3,Farm 84,2090
2019-7-10,Farm 19,2090
2019-7-20,Farm 33,2090
2019-7-28,Farm 66,2090
2019-8-15,Farm 33,2090
2019-9-10,Farm 66,2090
2019-2-2,Farm 66,2091
2019-2-16,Farm 33,2091
2019-10-16,Farm 66,2091
2019-12-17,Farm 84,2091
2019-2-22,Farm 19,2092
2019-6-5,Farm 33,2092
2019-10-18,Farm 84,2092
2019-12-2,Farm 33,2092
2019-6-8,Farm 19,2093
2019-6-10,Farm 33,2093
2019-7-12,Farm 84,2093
2019-10-10,Farm 33,2093
2019-11-29,Farm 84,2093
2019-6-3,Farm 33,2094
2019-9-10,Farm 19,2094
2019-9-23,Farm 19,2094
2019-10-3,Farm 33,2094
2019-12-21,Farm 19,2094
2019-7-3,Farm 33,2095
2019-9-19,Farm 19,2095
2019-10-27,Farm 19,2095
2019-12-1,Farm 19,2095
2019-12-27,Farm 19,2095
2019-3-8,Farm 33,2096
2019-8-31,Farm 19,2096
2019-10-30,Farm 33,2096
2019-11-5,Farm 33,2096
2019-4-17,Farm 33,2097
2019-9-18,Farm 84,2097
2019-10-26,Farm 19,2097
2019-12-26,Farm 19,2097
2019-2-17,Farm 19,2098
2019-7-17,Farm 19,2098
2019-10-31,Farm 33,2098
2019-11-2,Farm 19,2098
2019-5-14,Farm 33,2099
2019-9-27,Farm 33,2099
2019-10-18,Farm 66,2099
2019-2-9,Farm 33,2100
2019-2-11,Farm 84,2100
2019-4-27,Farm 33,2100
2019-12-10,Farm 66,2100
2019-1-13,Farm 33,2100
2019-1-18,Farm 33,2100
2019-3-20,Farm 66,2101
2019-5-27,Farm 19,2101
2019-7-16,Farm 66,2101
2019-9-30,Farm 19,2101
2019-10-14,Farm 33,2101
2019-11-4,Farm 66,2101
2019-12-24,Farm 19,2101
2019-4-25,Farm 33,2102
2019-8-16,Farm 33,2102
2019-9-13,Farm 84,2102
2019-10-12,Farm 33,2102
2019-10-28,Farm 19,2102
2019-1-21,Farm 33,2102
2019-11-25,Farm 33,2103
2019-5-9,Farm 33,2103
2019-7-2,Farm 33,2103
2019-11-26,Farm 33,2103
2019-2-28,Farm 84,2103
2019-1-24,Farm 66,2103
2019-3-10,Farm 19,2103
2019-5-11,Farm 19,2103
2019-5-15,Farm 19,2103
2019-10-23,Farm 84,2103
2019-8-1,Farm 19,2104
2019-5-24,Farm 84,2105
2019-6-8,Farm 33,2105
2019-9-1,Farm 33,2105
2019-9-25,Farm 33,2105
2019-12-26,Farm 66,2106
2019-12-28,Farm 33,2106
2019-3-19,Farm 33,2107
2019-4-14,Farm 66,2107
2019-2-24,Farm 33,2107
2019-1-22,Farm 33,2107
2019-4-6,Farm 66,2107
2019-12-8,Farm 66,2107
2019-10-24,Farm 84,2107
2019-4-14,Farm 19,2107
2019-7-26,Farm 33,2107
2019-8-2,Farm 66,2107
2019-3-31,Farm 33,2108
2019-5-16,Farm 33,2108
2019-8-20,Farm 19,2108
2019-11-18,Farm 33,2108
2019-11-20,Farm 66,2108
2019-12-12,Farm 66,2108
2019-1-13,Farm 19,2108
2019-3-30,Farm 84,2109
2019-3-31,Farm 19,2109
2019-5-26,Farm 66,2109
2019-11-18,Farm 66,2109
2019-1-23,Farm 33,2109
2019-3-21,Farm 19,2110
2019-4-21,Farm 33,2110
2019-8-16,Farm 84,2110
2019-8-20,Farm 33,2110
2019-10-8,Farm 66,2110
2019-12-8,Farm 19,2110
2019-3-23,Farm 33,2111
2019-6-27,Farm 19,2111
2019-8-6,Farm 33,2111
2019-8-22,Farm 33,2111
2019-11-10,Farm 66,2111
2019-1-9,Farm 33,2111
2019-1-19,Farm 33,2111
2019-1-20,Farm 33,2111
2019-2-12,Farm 66,2112
2019-4-2,Farm 66,2112
2019-6-1,Farm 19,2112
2019-6-30,Farm 66,2112
2019-1-6,Farm 19,2112
2019-1-13,Farm 84,2112
2019-1-14,Farm 66,2112
2019-2-12,Farm 84,2113
2019-6-2,Farm 19,2113
2019-6-26,Farm 84,2113
2019-9-17,Farm 33,2113
2019-11-7,Farm 19,2113
2019-5-10,Farm 33,2114
2019-5-19,Farm 19,2114
2019-8-12,Farm 66,2114
2019-8-19,Farm 33,2114
2019-9-7,Farm 33,2114
2019-8-3,Farm 33,2115
2019-9-4,Farm 19,2115
2019-10-2,Farm 33,2115
2019-10-29,Farm 33,2115
2019-6-2,Farm 84,2116
2019-6-12,Farm 33,2116
2019-6-26,Farm 33,2116
2019-10-11,Farm 33,2116
2019-2-8,Farm 33,2117
2019-2-22,Farm 66,2117
2019-5-18,Farm 66,2117
2019-10-9,Farm 19,2117
2019-10-29,Farm 19,2117
2019-3-2,Farm 19,2118
2019-4-23,Farm 84,2118
2019-8-17,Farm 33,2118
2019-10-19,Farm 84,2118
2019-1-11,Farm 84,2118
2019-1-26,Farm 19,2118
2019-3-6,Farm 66,2119
2019-4-8,Farm 33,2119
2019-6-23,Farm 84,2119
2019-7-29,Farm 33,2119
2019-11-11,Farm 33,2119
2019-11-30,Farm 33,2119
2019-7-16,Farm 33,2120
2019-9-10,Farm 84,2120
2019-10-12,Farm 84,2120
2019-1-1,Farm 84,2120
2019-3-30,Farm 66,2121
2019-5-6,Farm 66,2121
2019-7-10,Farm 66,2121
2019-7-24,Farm 33,2121
2019-2-4,Farm 66,2122
2019-5-3,Farm 19,2122
2019-5-4,Farm 84,2122
2019-6-6,Farm 84,2122
2019-8-28,Farm 66,2122
2019-12-8,Farm 84,2122
2019-12-11,Farm 84,2122
2019-1-17,Farm 33,2122
2019-1-26,Farm 84,2122
2019-2-20,Farm 33,2123
2019-3-18,Farm 33,2123
2019-10-1,Farm 84,2123
2019-11-1,Farm 84,2123
2019-11-14,Farm 33,2123
2019-11-30,Farm 19,2123
2019-12-12,Farm 84,2123
2019-2-3,Farm 33,2124
2019-3-5,Farm 84,2124
2019-3-29,Farm 33,2124
2019-9-12,Farm 66,2124
2019-1-31,Farm 84,2124
2019-2-2,Farm 84,2125
2019-10-30,Farm 84,2125
2019-3-19,Farm 84,2126
2019-4-17,Farm 84,2126
2019-8-30,Farm 19,2126
2019-1-28,Farm 33,2126
2019-2-26,Farm 66,2127
2019-7-30,Farm 84,2127
2019-9-20,Farm 66,2127
2019-11-21,Farm 33,2127
2019-5-2,Farm 66,2128
2019-5-7,Farm 84,2128
2019-1-14,Farm 33,2128
2019-3-14,Farm 84,2129
2019-3-20,Farm 39,2129
2019-4-2,Farm 84,2129
2019-2-7,Farm 33,2130
2019-4-11,Farm 33,2130
2019-5-28,Farm 66,2130
2019-8-18,Farm 66,2130
2019-1-15,Farm 33,2130
2019-4-6,Farm 33,2131
2019-6-23,Farm 33,2131
2019-11-9,Farm 33,2131
2019-12-6,Farm 66,2131
2019-3-11,Farm 33,2132
2019-4-8,Farm 66,2132
2019-7-13,Farm 33,2132
2019-10-4,Farm 66,2132
2019-10-28,Farm 66,2132
2019-8-31,Farm 84,2133
2019-10-15,Farm 33,2133
2019-12-27,Farm 33,2133
2019-3-16,Farm 33,2134
2019-4-13,Farm 84,2134
2019-8-21,Farm 84,2134
2019-1-22,Farm 66,2134
2019-6-3,Farm 84,2135
2019-10-4,Farm 33,2135
2019-10-24,Farm 19,2135
2019-11-22,Farm 66,2135
2019-12-16,Farm 33,2135
2019-2-21,Farm 33,2136
2019-4-24,Farm 66,2136
2019-7-11,Farm 84,2136
2019-9-11,Farm 84,2136
2019-11-12,Farm 66,2136
2019-11-22,Farm 33,2136
2019-2-8,Farm 66,2137
2019-5-8,Farm 84,2137
2019-9-16,Farm 33,2137
2019-9-23,Farm 33,2137
2019-5-14,Farm 84,2138
2019-8-12,Farm 84,2138
2019-12-28,Farm 84,2138
2019-2-4,Farm 19,2139
2019-2-10,Farm 66,2139
2019-5-2,Farm 33,2139
2019-5-8,Farm 33,2139
2019-5-23,Farm 84,2139
2019-12-15,Farm 33,2139
2019-12-19,Farm 84,2139
2019-4-29,Farm 19,2140
2019-5-16,Farm 84,2140
2019-7-30,Farm 33,2140
2019-9-24,Farm 66,2140
2019-12-10,Farm 33,2140
2019-3-4,Farm 33,2141
2019-9-18,Farm 66,2141
